"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Furosemide|Plasma (Peripheral Venous Blood) [µmol/l]"
0,1623,0.00067615655
0,1626,0.0006759907
0,1629,0.00067581976
0,1632,0.00067564356
0,1635,0.0006754623
0,1638,0.00067527586
0,1641,0.0006750843
0,1644,0.0006748876
0,1647,0.00067468587
0,1650,0.000674479
0,1653,0.00067426707
0,1656,0.00067405007
0,1659,0.00067382806
0,1662,0.000673601
0,1665,0.0006733689
0,1668,0.0006731318
0,1671,0.00067288976
0,1674,0.00067264267
0,1677,0.0006723907
0,1680,0.00067213376
0,1683,0.0006718719
0,1686,0.00067160506
0,1689,0.0006713334
0,1692,0.00067105686
0,1695,0.0006707754
0,1698,0.0006704891
0,1701,0.000670198
0,1704,0.0006699021
0,1707,0.0006696014
0,1710,0.00066929584
0,1713,0.0006689856
0,1716,0.0006686706
0,1719,0.00066835084
0,1722,0.0006680264
0,1725,0.0006676972
0,1728,0.0006673634
0,1731,0.00066702487
0,1734,0.00066668174
0,1737,0.000666334
0,1740,0.0006659816
0,1743,0.0006656246
0,1746,0.0006652631
0,1749,0.00066489703
0,1752,0.0006645264
0,1755,0.0006641513
0,1758,0.00066377164
0,1761,0.00066338753
0,1764,0.000662999
0,1767,0.000662606
0,1770,0.00066220853
0,1773,0.0006618067
0,1776,0.0006614005
0,1779,0.00066098996
0,1782,0.00066057505
0,1785,0.0006601558
0,1788,0.00065973226
0,1791,0.00065930444
0,1794,0.0006588723
0,1797,0.000658436
0,1800,0.0006579954
0,1803,0.00065755064
0,1806,0.0006571016
0,1809,0.00065664854
0,1812,0.00065619126
0,1815,0.00065572985
0,1818,0.0006552643
0,1821,0.00065479474
0,1824,0.00065432105
0,1827,0.00065384334
0,1830,0.0006533616
0,1833,0.00065287587
0,1836,0.0006523861
0,1839,0.00065189245
0,1842,0.00065139483
0,1845,0.00065089326
0,1848,0.0006503878
0,1851,0.0006498784
0,1854,0.00064936525
0,1857,0.0006488482
0,1860,0.0006483273
0,1863,0.0006478026
0,1866,0.0006472742
